height,weight,original,MLEValue,squareParzen(1 std),squareParzen(2 std),squareParzen(3 std),roundParzen(1 std),roundParzen(2 std),roundParzen(3 std),squareKNN(k=3),squareKNN(k=5),squareKNN(k=7),roundKNN(k=3),roundKNN(k=5),roundKNN(k=7),MLEvalueError,squareParzenError(1 std),squareParzenError(2 std),squareParzenError(3 std),roundParzenError(1 std),roundParzenError(2 std),roundParzenError(3 std),squareKNNError(k=3),squareKNNError(k=5),squareKNNError(k=7),roundKNNError(k=3),roundKNNError(k=5),roundKNNError(k=7)
134.941684766872810996574116870760917663574218750,25.273593128807156915627274429425597190856933594,0.000000000000000000000000377168899496874237398,0.000000000000000000000000626401002769173040979,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000140045658155380848439613831073787941,0.000000000225597139022917695975082524237332032,0.000000000296198698026232256094360928134990793,0.000000086447438195703700498360750204690505782,0.000000135467811573889579384596211150681988045,0.000000181792689103955402848766071885466821811,0.660797068911998963791631922504166141152381897,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,371307545087081.312500000000000000000000000000000000000000000,598132930164320.000000000000000000000000000000000000000000000,785321107921006.125000000000000000000000000000000000000000000,229200865477033120.000000000000000000000000000000000000000000000,359170153622415168.000000000000000000000000000000000000000000000,481992787174282880.000000000000000000000000000000000000000000000
134.941684766872810996574116870760917663574218750,33.758874503045724679850536631420254707336425781,0.000000000000000000003056231247494395107572983,0.000000000000000000003978496247483392151293091,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000361422506776379486390799445258404342,0.000000000460903812593680898998663788705730873,0.000000000628505758594653295511169127890264974,0.000000143977374021748073385014335227871651313,0.000000193081729708259679263721150452304264888,0.000000250086662845631901265703363884673748885,0.301765450747583985346977897279430180788040161,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,118257578535.534576416015625000000000000000000000000000000,150807898770.254913330078125000000000000000000000000000000,205647317789.472900390625000000000000000000000000000000000,47109450287762.976562500000000000000000000000000000000000000,63176413717565.304687500000000000000000000000000000000000000,81828449025465.140625000000000000000000000000000000000000000
134.941684766872810996574116870760917663574218750,42.244155877284299549501156434416770935058593750,0.000000000000000003351564525827550573531694191,0.000000000000000003597389506458064054965583979,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000766438532074876748552431653425465533,0.000000000842601728099995827992074554985612797,0.000000001109564233548993464627370512064468561,0.000000180029089182903432962752784084192736458,0.000000297998219871054794683596722917884314086,0.000000360984407034601711837973770508058990458,0.073346336833486944217774805565568385645747185,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,228680821.394619375467300415039062500000000000000000000,251405490.855164289474487304687500000000000000000000000,331058591.188382744789123535156250000000000000000000000,53714940527.692817687988281250000000000000000000000000000,88913168035.791610717773437500000000000000000000000000000,107706238161.151855468750000000000000000000000000000000000
134.941684766872810996574116870760917663574218750,50.729437251522867313724418636411428451538085938,0.000000000000000497416279214194140167824998781,0.000000000000000463082081205714377260241975047,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000136520329773052914159800486082474435534,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000153772891876227405127437611667695627204,0.000000000988885015644848196392853291263567994,0.000000001277397553458128017651629324837568580,0.000000001286975311362609690868034404797985715,0.000000246196849784792303622322356959628564255,0.000000375171673462964251544637852425756463504,0.000000511522743423303141783835268352476077780,-0.069025079080081722104900165959406876936554909,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,274458908.926961660385131835937500000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,309143262.503868401050567626953125000000000000000000000,1988042.127995457267388701438903808593750000000000000,2568064.435003713238984346389770507812500000000000000,2587319.449977514334022998809814453125000000000000000,494951330.656712055206298828125000000000000000000000000,754240841.410005450248718261718750000000000000000000000,1028359473.344896912574768066406250000000000000000000000
134.941684766872810996574116870760917663574218750,59.214718625761435077947680838406085968017578125,0.000000000000009990873042351289089528785767055,0.000000000000008486536660530989230934124926900,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000273040659546105828319600972164948871068,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000153772891876227405127437611667695627204,0.000000000995695067929724033910590064665700749,0.000000001320634736084593757916934346702611536,0.000000001788356574841379183353250427121212268,0.000000305044482087047342419415399752957718249,0.000000488402934960293542346191405373323490835,0.000000577747855836347887759888060366098017084,-0.150571063754230599629480025214434135705232620,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,27329008.025406192988157272338867187500000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,15391335.795531727373600006103515625000000000000000000,99659.466478652539080940186977386474609375000000000,132183.117492678167764097452163696289062500000000000,178998.029139949969248846173286437988281250000000000,30532313.923226874321699142456054687500000000000000000,48884909.546851567924022674560546875000000000000000000,57827563.556898683309555053710937500000000000000000000
134.941684766872810996574116870760917663574218750,67.700000000000002842170943040400743484497070312,0.000000000000027158008641464845235679440900717,0.000000000000022141396494631759200625938465757,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000273040659546105828319600972164948871068,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000153772891876227405127437611667695627204,0.000000000995695067929724033910590064665700749,0.000000001320634736084593757916934346702611536,0.000000001788356574841379183353250427121212268,0.000000338298841803899153929819634475939515994,0.000000481339697690468389984139434972787441325,0.000000605881842707443169469827548567764097243,-0.184719439965628506872263869809103198349475861,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,10053779.568035734817385673522949218750000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,5662155.379221669398248195648193359375000000000000000,36662.036715051959617994725704193115234375000000000,48626.819274946719815488904714584350585937500000000,65849.062810235525830648839473724365234375000000000,12456687.053607307374477386474609375000000000000000000,17723673.222400791943073272705078125000000000000000000,22309508.165645632892847061157226562500000000000000000
134.941684766872810996574116870760917663574218750,76.185281374238570606394205242395401000976562500,0.000000000000009990873042351289089528785767055,0.000000000000008223970214907820972060340903613,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000136520329773052914159800486082474435534,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000792380841650756192711614666544491306,0.000000001277397553458128017651629324837568580,0.000000001355090631565404811218515659866808154,0.000000296069186827245505329422913323722532652,0.000000407468994421307132526777943296036887944,0.000000552721833384229094461061182474992392599,-0.176851694536960979409201399903395213186740875,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,13664503.512703096494078636169433593750000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,79309.470495606889016926288604736328125000000000000,127855.449385678555699996650218963623046875000000000,135631.854688592138700187206268310546875000000000000,29633964.477512210607528686523437500000000000000000000,40784121.938410580158233642578125000000000000000000000,55322675.110610395669937133789062500000000000000000000
134.941684766872810996574116870760917663574218750,84.670562748477138370617467444390058517456054688,0.000000000000000497416279214194140167824998781,0.000000000000000434870603057765773577999905207,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000788738242782850053249774619190106892,0.000000000967921879689574835613917880153874579,0.000000001245015754211465182126960503383467788,0.000000233799116565381613326587788813382129405,0.000000347179968603952972918048240982824559353,0.000000468740822633208973621777486753825492372,-0.125741112163109070021249635829008184373378754,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,1585669.344422340160235762596130371093750000000000000,1945898.079175039893016219139099121093750000000000000,2502964.436069583520293235778808593750000000000000000,470027069.554931640625000000000000000000000000000000000,697966638.034048557281494140625000000000000000000000000,942351188.980581402778625488281250000000000000000000000
134.941684766872810996574116870760917663574218750,93.155844122715706134840729646384716033935546875,0.000000000000000003351564525827550573531694191,0.000000000000000003273712787490005247572992253,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000484890188823808194653257648559655305,0.000000000676218172461633961296501458475109725,0.000000000783554246429748226081491436199356893,0.000000181282134820944575331324861815207594162,0.000000274676063318683474896399936485136272779,0.000000366956566075150704213901631245420276173,-0.023228476652503830118812189198251871857792139,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,144675772.086624890565872192382812500000000000000000000,201761942.489560514688491821289062500000000000000000000,233787604.875282138586044311523437500000000000000000000,54088809396.510658264160156250000000000000000000000000000,81954580077.049346923828125000000000000000000000000000000,109488140014.607711791992187500000000000000000000000000000
134.941684766872810996574116870760917663574218750,101.641125496954288109918707050383090972900390625,0.000000000000000000003056231247494395107572983,0.000000000000000000003508513090025742638190532,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000000000000000000000000000000000000000,0.000000000316340093781454053991571319240719284,0.000000000466962370275769524894698279173519198,0.000000000603476302753448955071008588923455948,0.000000146745830606529139934546051779462594311,0.000000206114510874364833369748722241565630497,0.000000278640058184430423681788094314448755995,0.147986786962584715432456050621112808585166931,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,-1.000000000000000000000000000000000000000000000,103506596249.136734008789062500000000000000000000000000000,152790261095.440765380859375000000000000000000000000000000,197457670536.267059326171875000000000000000000000000000000,48015290311174.406250000000000000000000000000000000000000000,67440744558626.460937500000000000000000000000000000000000000,91171130591923.031250000000000000000000000000000000000000000
